,Unnamed: 0,Unnamed: 0.1,year,song,artist,peak_pos,weeks_on_chart,instance,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
0,0,1,2018,...Ready For It?,Taylor Swift,4,19,1,0.613,0.764,2.0,-6.5089999999999995,1.0,0.136,0.0527,0.0,0.19699999999999998,0.41700000000000004,160.015,audio_features,2yLa0QULdQr0qAIvVwN6B5,spotify:track:2yLa0QULdQr0qAIvVwN6B5,https://api.spotify.com/v1/tracks/2yLa0QULdQr0qAIvVwN6B5,https://api.spotify.com/v1/audio-analysis/2yLa0QULdQr0qAIvVwN6B5,208187.0,4.0,"['dance pop', 'pop', 'post-teen pop']"
1,1,2,2003,03 Bonnie & Clyde,Jay-Z Featuring Beyonce Knowles,56,23,1,0.653,0.904,11.0,-4.875,1.0,0.226,0.249,0.000328,0.0927,0.961,195.888,audio_features,6txt8cnoXy81btcoX4jrBg,spotify:track:6txt8cnoXy81btcoX4jrBg,https://api.spotify.com/v1/tracks/6txt8cnoXy81btcoX4jrBg,https://api.spotify.com/v1/audio-analysis/6txt8cnoXy81btcoX4jrBg,236347.0,4.0,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
2,2,3,2010,Til Summer Comes Around,Keith Urban,92,16,1,0.57,0.629,9.0,-7.608,0.0,0.0331,0.593,0.000136,0.77,0.308,127.90700000000001,audio_features,1CKmI1IQjVEVB3F7VmJmM3,spotify:track:1CKmI1IQjVEVB3F7VmJmM3,https://api.spotify.com/v1/tracks/1CKmI1IQjVEVB3F7VmJmM3,https://api.spotify.com/v1/audio-analysis/1CKmI1IQjVEVB3F7VmJmM3,331467.0,4.0,"['australian country', 'contemporary country', 'country', 'country road']"
3,3,4,2000,(Hot S**t) Country Grammar,Nelly,100,34,1,0.889,0.643,2.0,-6.695,1.0,0.149,0.0171,0.0,0.23600000000000002,0.6409999999999999,81.37100000000001,audio_features,4B4y6zANvKgcu54S4U9f89,spotify:track:4B4y6zANvKgcu54S4U9f89,https://api.spotify.com/v1/tracks/4B4y6zANvKgcu54S4U9f89,https://api.spotify.com/v1/audio-analysis/4B4y6zANvKgcu54S4U9f89,258427.0,4.0,"['dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']"
4,4,5,2004,(I Hate) Everything About You,Three Days Grace,75,20,1,0.498,0.83,6.0,-5.157,0.0,0.0421,0.00461,0.0,0.139,0.45299999999999996,89.34200000000001,audio_features,6rUp7v3l8yC4TKxAAR5Bmx,spotify:track:6rUp7v3l8yC4TKxAAR5Bmx,https://api.spotify.com/v1/tracks/6rUp7v3l8yC4TKxAAR5Bmx,https://api.spotify.com/v1/audio-analysis/6rUp7v3l8yC4TKxAAR5Bmx,231480.0,4.0,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'pop punk', 'post-grunge']"
5,5,6,2005,(I Never Promised You A) Rose Garden,Martina McBride,98,2,1,0.5770000000000001,0.728,2.0,-6.944,1.0,0.0478,0.503,0.0,0.133,0.78,131.908,audio_features,6goA1BGYQSSricr7oV8r8m,spotify:track:6goA1BGYQSSricr7oV8r8m,https://api.spotify.com/v1/tracks/6goA1BGYQSSricr7oV8r8m,https://api.spotify.com/v1/audio-analysis/6goA1BGYQSSricr7oV8r8m,195573.0,4.0,"['contemporary country', 'country', 'country dawn', 'country road']"
6,6,7,2010,(Ive Had) The Time Of My Life,Glee Cast,38,1,1,0.45899999999999996,0.77,9.0,-5.996,1.0,0.0472,0.0765,0.0,0.0879,0.168,110.705,audio_features,1wYDz3NuqlGxPnQDX8OuV6,spotify:track:1wYDz3NuqlGxPnQDX8OuV6,https://api.spotify.com/v1/tracks/1wYDz3NuqlGxPnQDX8OuV6,https://api.spotify.com/v1/audio-analysis/1wYDz3NuqlGxPnQDX8OuV6,277560.0,4.0,"['glee club', 'hollywood', 'pop', 'post-teen pop']"
7,7,8,2010,(If Youre Wondering If I Want You To) I Want You To,Weezer,100,9,3,0.7040000000000001,0.8690000000000001,11.0,-5.707999999999999,0.0,0.0442,0.0021899999999999997,0.000117,0.127,0.8,110.015,audio_features,09aDV0TC2RfWFU5IwZfIdG,spotify:track:09aDV0TC2RfWFU5IwZfIdG,https://api.spotify.com/v1/tracks/09aDV0TC2RfWFU5IwZfIdG,https://api.spotify.com/v1/audio-analysis/09aDV0TC2RfWFU5IwZfIdG,208773.0,4.0,"['alternative rock', 'modern rock', 'permanent wave', 'pop punk', 'pop rock', 'post-grunge', 'rock']"
8,8,9,2011,(It) Feels So Good,Steven Tyler,35,4,1,0.738,0.9520000000000001,6.0,-3.386,0.0,0.0515,0.0631,0.0,0.21600000000000003,0.899,122.0,audio_features,3xuzbqmCALn6Ua8JeOrnZl,spotify:track:3xuzbqmCALn6Ua8JeOrnZl,https://api.spotify.com/v1/tracks/3xuzbqmCALn6Ua8JeOrnZl,https://api.spotify.com/v1/audio-analysis/3xuzbqmCALn6Ua8JeOrnZl,211293.0,4.0,['modern country rock']
9,9,10,2012,(Kissed You) Good Night,Gloriana,97,20,1,0.523,0.747,11.0,-6.125,1.0,0.0292,0.0807,0.0,0.11,0.294,118.97,audio_features,0Rj68IX1WqAtceUZQGk7aa,spotify:track:0Rj68IX1WqAtceUZQGk7aa,https://api.spotify.com/v1/tracks/0Rj68IX1WqAtceUZQGk7aa,https://api.spotify.com/v1/audio-analysis/0Rj68IX1WqAtceUZQGk7aa,232903.0,4.0,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']"
