"","date","title","artist","genre1","peak_pos","last_pos","weeks","rank","change","energy","liveness","tempo","speechiness","acousticness","instrumentalness","time_signature","danceability","key","duration_ms","loudness","valence","mode","spotify_link","spotify_id","analysis_url"
"1",2016-10-22,"LIFTED","cl","pop",94,0,1,94,"New",0.675,0.173,181.164,0.191,0.00162,0,4,0.372,0,175465,-4.496,0.285,1,"https://embed.spotify.com/?uri=spotify:track:2poiceiOgHN4oH0fKwvwNY","2poiceiOgHN4oH0fKwvwNY","https://api.spotify.com/v1/audio-analysis/2poiceiOgHN4oH0fKwvwNY"
"2",2005-02-12,"Holy Water","big","hip hop/rap",75,79,7,97,"-18",0.765,0.344,94.677,0.0277,0.0451,0.00000697,4,0.536,0,256813,-1.991,0.456,1,"https://embed.spotify.com/?uri=spotify:track:4qCGe8cM5ycEKcPJdRyk3m","4qCGe8cM5ycEKcPJdRyk3m","https://api.spotify.com/v1/audio-analysis/4qCGe8cM5ycEKcPJdRyk3m"
"3",2004-04-24,"Wild West Show","big","hip hop/rap",85,85,9,88,"-3",0.879,0.132,106.135,0.0378,0.0261,0.00000243,4,0.551,0,260813,-1.395,0.293,1,"https://embed.spotify.com/?uri=spotify:track:0Z9YP4ntjcqlMCfgi5Eete","0Z9YP4ntjcqlMCfgi5Eete","https://api.spotify.com/v1/audio-analysis/0Z9YP4ntjcqlMCfgi5Eete"
"4",2016-01-16,"Burning House","cam","country",29,50,25,44,"6",0.248,0.116,140.904,0.0317,0.885,0.00002,4,0.729,0,232640,-8.772,0.43,1,"https://embed.spotify.com/?uri=spotify:track:1EPmjXdSdJgP08mrrmnw7h","1EPmjXdSdJgP08mrrmnw7h","https://api.spotify.com/v1/audio-analysis/1EPmjXdSdJgP08mrrmnw7h"
"5",2011-03-19,"Bass Down Low","dev","pop",61,83,12,100,"-17",0.624,0.0499,113.035,0.0628,0.0886,0,4,0.797,0,210600,-8.022,0.834,1,"https://embed.spotify.com/?uri=spotify:track:4Xf7EL8G6FRYwvJADl0nf4","4Xf7EL8G6FRYwvJADl0nf4","https://api.spotify.com/v1/audio-analysis/4Xf7EL8G6FRYwvJADl0nf4"
"6",2003-10-11,"Where The Hood At?","dmx","hip hop/rap",68,78,8,84,"-6",0.952,0.348,186.075,0.388,0.164,0,4,0.489,0,287427,-3.706,0.713,1,"https://embed.spotify.com/?uri=spotify:track:4GyjcWah0pbgHf248WPQju","4GyjcWah0pbgHf248WPQju","https://api.spotify.com/v1/audio-analysis/4GyjcWah0pbgHf248WPQju"
"7",2000-04-22,"Love Is Blind","eve","hip hop/rap",34,87,16,99,"-12",0.809,0.18,176.228,0.32,0.28,0,4,0.671,0,260307,-4.824,0.579,1,"spotify:track:0H2jfzzREOr9MF95HB7ry6","0H2jfzzREOr9MF95HB7ry6","https://api.spotify.com/v1/audio-analysis/0H2jfzzREOr9MF95HB7ry6"
"8",2005-06-11,"Look What You've Done","jet","alternative/rock",37,78,20,90,"-12",0.547,0.146,73.396,0.0261,0.414,0.00143,4,0.398,0,230880,-6.846,0.305,1,"https://embed.spotify.com/?uri=spotify:track:0ZSmRnXnP5fdANtVlCok1g","0ZSmRnXnP5fdANtVlCok1g","https://api.spotify.com/v1/audio-analysis/0ZSmRnXnP5fdANtVlCok1g"
"9",2007-01-20,"Hip Hop Is Dead","nas","hip hop/rap",41,61,5,78,"-17",0.712,0.205,110.823,0.29,0.023,0,4,0.766,0,225560,-5.975,0.6,0,"https://embed.spotify.com/?uri=spotify:track:4errw8r45vg260xFxRc9zb","4errw8r45vg260xFxRc9zb","https://api.spotify.com/v1/audio-analysis/4errw8r45vg260xFxRc9zb"
"10",2002-07-13,"One Mic","nas","hip hop/rap",43,98,13,99,"-1",0.593,0.112,91.686,0.394,0.0603,0,4,0.738,0,269387,-6.5,0.423,0,"https://embed.spotify.com/?uri=spotify:track:0FoNL2JohSdDhABW82QJMc","0FoNL2JohSdDhABW82QJMc","https://api.spotify.com/v1/audio-analysis/0FoNL2JohSdDhABW82QJMc"
